VarName              	 G1                   	 G2                   	 AVG_G1    	 STD_G1    	 AVG_G2    	 STD_G2    	 PTTEST2   	 PRANKSUM  	 PCHI2     	 PANOVA1   	 PKSTESTG1 	 PKSTESTG2 	 PLILTESTG1 	 PLILTESTG2 	 PTTEST   
TArea(I)             	 ACM                  	 Control              	   3.5140	   5.1919	  12.2106	   7.4218	 0.0000782	 0.0001634 	 0.4264753	 0.0000782	 0.8826422	 0.7317285	 0.5000000	 0.3004478	      NaN
RAmp(I)              	 ACM                  	 Control              	   0.3790	   0.4724	   0.7896	   0.4598	 0.0080319	 0.0047419 	 0.4264753	 0.0080319	 0.8769365	 0.7165876	 0.5000000	 0.2827393	      NaN
TArea(II)            	 ACM                  	 Control              	   4.8896	   7.5613	  15.3656	   8.7023	 0.0001905	 0.0004103 	 0.4264753	 0.0001905	 0.6930394	 0.5579587	 0.2607934	 0.1309985	      NaN
midLevel(aVR)        	 ACM                  	 Control              	  -0.1152	   0.1611	  -0.3386	   0.2940	 0.0035459	 0.0011770 	 0.4264753	 0.0035459	 0.5731922	 0.2910139	 0.1460652	 0.0185240	      NaN
difLevel(aVR)        	 ACM                  	 Control              	   0.2692	   0.2879	   0.6830	   0.5814	 0.0048824	 0.0016935 	 0.4264753	 0.0048824	 0.4136881	 0.2515421	 0.0557667	 0.0119420	      NaN
RAmp(aVR)            	 ACM                  	 Control              	  -0.3760	   0.4149	  -0.8752	   0.4825	 0.0009949	 0.0011770 	 0.4264753	 0.0009949	 0.8182554	 0.1306249	 0.4298913	 0.0016034	      NaN
QRSArea(aVR)         	 ACM                  	 Control              	  -2.0944	   4.9148	  -6.6613	   4.8284	 0.0050028	 0.0028667 	 0.4264753	 0.0050028	 0.5603037	 0.2953874	 0.1363811	 0.0194037	      NaN
difLevel(V3)         	 ACM                  	 Control              	   0.3745	   0.3914	   0.9689	   0.6482	 0.0007956	 0.0023076 	 0.4712368	 0.0007956	 0.2504833	 0.8524149	 0.0126932	 0.5000000	      NaN
TArea(V5)            	 ACM                  	 Control              	   9.6889	  12.2007	  21.9379	  14.3334	 0.0052830	 0.0104264 	 0.4264753	 0.0052830	 0.8457252	 0.7518320	 0.4927358	 0.3250783	      NaN
TArea(V6)            	 ACM                  	 Control              	   5.8261	   8.6175	  16.8744	  13.2587	 0.0025508	 0.0055795 	 0.4264753	 0.0025508	 0.9121485	 0.9872197	 0.5000000	 0.5000000	      NaN
R2(VCG)              	 ACM                  	 Control              	   0.6347	   0.2124	   0.8312	   0.1690	 0.0026794	 0.0018517 	 0.4264753	 0.0026794	 0.6435038	 0.5775339	 0.2078490	 0.1456938	      NaN
D2(VCG(QRS))         	 ACM                  	 Control              	  -0.4527	   0.6788	  -1.0874	   0.6699	 0.0048365	 0.0026301 	 0.4264753	 0.0048365	 0.8237660	 0.4140702	 0.4406324	 0.0532985	      NaN
RT(VCG(QRS))         	 ACM                  	 Control              	   1.6622	   0.2477	   1.8919	   0.2688	 0.0071652	 0.0187132 	 0.4264753	 0.0071652	 0.3720736	 0.5044194	 0.0410179	 0.0965356	      NaN
C1(PCA)              	 ACM                  	 Control              	   0.0352	   0.0207	   0.0185	   0.0129	 0.0049153	 0.0018517 	 0.4264753	 0.0049153	 0.4334303	 0.1935464	 0.0638831	 0.0053459	      NaN
C2(PCA)              	 ACM                  	 Control              	   0.0516	   0.0342	   0.0251	   0.0225	 0.0071417	 0.0002234 	 0.4264753	 0.0071417	 0.2828540	 0.0479524	 0.0181010	 0.0010000	      NaN
