VarName              	 G1                   	 G2                   	 AVG_G1    	 STD_G1    	 AVG_G2    	 STD_G2    	 PTTEST2   	 PRANKSUM  	 PCHI2     	 PANOVA1   	 PKSTESTG1 	 PKSTESTG2 	 PLILTESTG1 	 PLILTESTG2 	 PTTEST   
midLevel(I)          	 ACM                  	 Control              	   0.1499	   0.1614	   0.2519	   0.1922	 0.0092692	 0.0084955 	 0.4495621	 0.0092692	 0.2866646	 0.2603737	 0.0207442	 0.0158690	      NaN
difLevel(I)          	 ACM                  	 Control              	   0.3194	   0.2978	   0.5196	   0.3629	 0.0064752	 0.0060231 	 0.4798016	 0.0064752	 0.0857615	 0.2248974	 0.0010000	 0.0104341	      NaN
RFrag(I)             	 ACM                  	 Control              	   0.4878	   0.5061	   0.2174	   0.4170	 0.0076833	 0.0085777 	 0.0080761	 0.0076833	 0.0000746	 0.0000000	 0.0010000	 0.0010000	      NaN
TArea(I)             	 ACM                  	 Control              	   2.5848	   5.5495	   9.3490	   6.2185	 0.0000008	 0.0000013 	 0.4495621	 0.0000008	 0.9458387	 0.6317031	 0.5000000	 0.2034446	      NaN
RAmp(I)              	 ACM                  	 Control              	   0.4015	   0.4234	   0.7163	   0.3970	 0.0005755	 0.0004523 	 0.4495621	 0.0005755	 0.6415287	 0.7442139	 0.2126619	 0.3276012	      NaN
midLevel(II)         	 ACM                  	 Control              	   0.0938	   0.2583	   0.3140	   0.3265	 0.0008517	 0.0000782 	 0.4495621	 0.0008517	 0.0912586	 0.4854626	 0.0010000	 0.0942896	      NaN
difLevel(II)         	 ACM                  	 Control              	   0.3392	   0.4281	   0.6824	   0.5934	 0.0029571	 0.0002601 	 0.4495621	 0.0029571	 0.0396158	 0.3809717	 0.0010000	 0.0470739	      NaN
TArea(II)            	 ACM                  	 Control              	   4.5125	   7.2817	  10.5075	   8.0601	 0.0004942	 0.0002354 	 0.4495621	 0.0004942	 0.1682346	 0.3049299	 0.0044296	 0.0253618	      NaN
RAmp(II)             	 ACM                  	 Control              	   0.3299	   0.5948	   0.7646	   0.6807	 0.0022229	 0.0007249 	 0.4495621	 0.0022229	 0.7179495	 0.3629830	 0.2953456	 0.0411736	      NaN
QRSArea(II)          	 ACM                  	 Control              	   0.8996	   9.8787	   5.7620	   6.8444	 0.0085525	 0.0046944 	 0.4495621	 0.0085525	 0.3718045	 0.4136650	 0.0436122	 0.0595101	      NaN
midLevel(aVR)        	 ACM                  	 Control              	  -0.1221	   0.1686	  -0.3171	   0.2098	 0.0000085	 0.0000045 	 0.4495621	 0.0000085	 0.2663262	 0.2092288	 0.0166884	 0.0084804	      NaN
difLevel(aVR)        	 ACM                  	 Control              	   0.2960	   0.2931	   0.6378	   0.4168	 0.0000344	 0.0000142 	 0.4495621	 0.0000344	 0.1618566	 0.1992266	 0.0039794	 0.0073499	      NaN
RFrag(aVR)           	 ACM                  	 Control              	   0.4878	   0.5061	   0.1739	   0.3832	 0.0014956	 0.0019028 	 0.0017583	 0.0014956	 0.0000746	 0.0000000	 0.0010000	 0.0010000	      NaN
RAmp(aVR)            	 ACM                  	 Control              	  -0.3681	   0.4220	  -0.7619	   0.3471	 0.0000075	 0.0000208 	 0.4495621	 0.0000075	 0.7199251	 0.0333854	 0.2976279	 0.0010000	      NaN
QRSArea(aVR)         	 ACM                  	 Control              	  -2.4319	   4.9916	  -5.3766	   4.0355	 0.0031491	 0.0030432 	 0.4495621	 0.0031491	 0.8831177	 0.8424367	 0.5000000	 0.4959881	      NaN
midLevel(aVF)        	 ACM                  	 Control              	  -0.0097	   0.3160	   0.1872	   0.3309	 0.0058211	 0.0018843 	 0.4495621	 0.0058211	 0.0679460	 0.7219606	 0.0010000	 0.3008877	      NaN
difLevel(V3)         	 ACM                  	 Control              	   0.4373	   0.4582	   0.8275	   0.5791	 0.0008586	 0.0015377 	 0.4695304	 0.0008586	 0.1144993	 0.7595008	 0.0014422	 0.3471126	      NaN
RFrag(V5)            	 ACM                  	 Control              	   0.3415	   0.4801	   0.1087	   0.3147	 0.0083228	 0.0092659 	 0.0087123	 0.0083228	 0.0000005	 0.0000000	 0.0010000	 0.0010000	      NaN
TArea(V5)            	 ACM                  	 Control              	   6.6898	  11.8642	  14.3520	  12.4663	 0.0043855	 0.0064253 	 0.4495621	 0.0043855	 0.8884272	 0.2356026	 0.5000000	 0.0119150	      NaN
TNeg(V6)             	 ACM                  	 Control              	   0.2195	   0.4191	   0.0217	   0.1474	 0.0035310	 0.0042005 	 0.0038889	 0.0035310	 0.0000000	 0.0000000	 0.0010000	 0.0010000	      NaN
TArea(V6)            	 ACM                  	 Control              	   3.7239	   9.1434	  11.7673	  10.1805	 0.0002216	 0.0004821 	 0.4495621	 0.0002216	 0.9956293	 0.3273740	 0.5000000	 0.0310390	      NaN
R2(VCG)              	 ACM                  	 Control              	   0.6530	   0.2098	   0.7833	   0.2269	 0.0068805	 0.0012146 	 0.4495621	 0.0068805	 0.4083981	 0.0458027	 0.0569320	 0.0010000	      NaN
D2(VCG)              	 ACM                  	 Control              	   0.2860	   0.1257	   0.2082	   0.1412	 0.0083474	 0.0011789 	 0.4495621	 0.0083474	 0.4482642	 0.1855389	 0.0743394	 0.0059809	      NaN
D2(VCG(QRS))         	 ACM                  	 Control              	  -0.6275	   0.6912	  -1.0368	   0.7314	 0.0089982	 0.0048206 	 0.4495621	 0.0089982	 0.9176229	 0.5948108	 0.5000000	 0.1696300	      NaN
RT(VCG(QRS))         	 ACM                  	 Control              	   1.5939	   0.3527	   1.7859	   0.2787	 0.0057717	 0.0204982 	 0.4495621	 0.0057717	 0.0956829	 0.8350350	 0.0010000	 0.4758353	      NaN
C1(PCA)              	 ACM                  	 Control              	   0.0356	   0.0208	   0.0223	   0.0153	 0.0010085	 0.0005647 	 0.4495621	 0.0010085	 0.1930147	 0.1746077	 0.0065927	 0.0050151	      NaN
C2(PCA)              	 ACM                  	 Control              	   0.0611	   0.0421	   0.0349	   0.0293	 0.0010619	 0.0001278 	 0.4495621	 0.0010619	 0.0879378	 0.0076835	 0.0010000	 0.0010000	      NaN
TWAD                 	 ACM                  	 Control              	   0.2490	   0.4658	   0.5913	   0.2086	 0.0000210	 0.0001625 	 0.4495621	 0.0000210	 0.0021462	 0.1650278	 0.0010000	 0.0042734	      NaN
Num_Rfrag            	 ACM                  	 Control              	   6.6585	   2.9207	   4.8043	   2.1563	 0.0010537	 0.0017583 	 0.0249609	 0.0010537	 0.6903371	 0.2587866	 0.2644168	 0.0156018	      NaN
Num_TNeg             	 ACM                  	 Control              	   0.6829	   1.2736	   0.1304	   0.4005	 0.0064480	 0.0198070 	 0.1678699	 0.0064480	 0.0000009	 0.0000000	 0.0010000	 0.0010000	      NaN
